Amount of boids, FPS
1019,66.7325
1020,69.3808
1020,70.0535
1020,70.1223
1021,71.9953
1021,71.1648
1021,71.45
1022,70.8818
1022,71.2028
1022,70.7244
1023,70.6984
1023,70.9602
1023,71.3084
1024,69.6258
1024,67.0772
1024,69.4454
1025,68.0703
1025,68.2333
1025,67.2011
1026,70.8281
1026,70.4717
1026,71.0884
1027,71.2058
1027,70.6145
1027,71.0318
1028,64.8353
1028,67.4545
1028,69.5986
1029,67.552
1029,65.6711
1029,63.5922
1030,48.5288
1030,69.3001
1030,65.5789
1031,69.3049
1031,67.9713
1031,69.4324
1032,68.2324
1032,68.4392
1032,69.2482
1033,66.1498
1033,66.3975
1033,65.716
1034,64.7103
1034,65.6495
1034,65.7255
1035,69.1955
1035,69.1793
1035,68.4856
1036,66.8789
1036,68.985
1036,68.5237
1037,66.8883
1037,65.7527
1037,67.3315
1038,67.4951
1038,64.2603
1038,62.4438
1039,64.1412
1039,68.6799
1039,69.6301
1040,70.623
1040,67.7273
1040,70.5482
1041,70.111
1041,69.571
1041,68.8444
1042,66.4394
1042,70.5592
1042,66.4735
1043,65.1521
1043,68.7999
1043,69.734
1044,69.8851
1044,68.1668
1044,68.5138
1045,68.7791
1045,67.9491
1045,68.1649
1046,67.962
1046,65.7108
1046,68.6742
1047,69.7209
1047,67.2332
1047,66.4558
1048,68.0758
1048,67.5292
1048,69.035
1049,69.7598
1049,69.5865
1049,70.0319
1050,70.0457
1050,68.596
1050,68.7734
1051,69.7696
1051,69.6689
1051,68.4514
1052,65.2895
1052,64.7442
1052,65.2742
1053,65.9848
1053,67.6375
1053,69.2271
1054,69.1171
1054,67.9053
1054,69.3308
1055,69.5536
1055,68.6431
1055,69.4064
1056,69.456
1056,69.1329
1056,66.1533
1057,65.897
1057,61.5946
1057,66.878
1058,67.2608
1058,68.7422
1058,66.226
1059,67.4932
1059,67.3623
1059,65.9209
1060,66.2212
1060,68.6908
1060,69.2118
1061,68.7082
1061,63.0855
1061,60.8372
1062,64.6417
1062,68.3153
1062,68.0254
1063,69.5169
1063,69.1735
1063,68.8672
1064,68.9332
1064,68.42
1064,69.0651
1065,66.9909
1065,66.7753
1065,68.5068
1066,65.2512
1066,63.7861
1066,67.3364
1067,67.9057
1067,67.351
1067,67.3419
1068,67.7204
1068,68.2813
1068,68.465
1069,68.286
1069,68.017
1069,67.8081
1070,67.6407
1070,67.4313
1070,63.6043
1071,62.9069
1071,66.1708
1071,67.4823
1072,67.6297
1072,68.0355
1072,67.5817
1073,67.8293
1073,68.2286
1073,67.5019
1074,67.9186
1074,67.7053
1074,67.3115
1075,68.0916
1075,63.2015
1075,64.4583
1076,63.7105
1076,65.8783
1076,66.5017
1077,65.9
1077,67.2554
1077,67.5037
1078,67.6334
1078,67.4818
1078,66.3967
1079,67.6517
1079,67.7732
1079,67.1276
1080,63.2735
1080,61.5006
1080,65.1729
1081,65.5708
1081,67.1447
1081,65.0001
1082,67.5475
1082,63.9027
1082,66.2111
1083,67.2531
1083,66.7976
1083,65.4754
1084,65.3339
1084,63.3445
1084,61.639
1085,63.5219
1085,64.6408
1085,67.0875
1086,67.2255
1086,67.5607
1086,67.0102
1087,67.5374
1087,65.6974
1087,66.9501
1088,67.0421
1088,66.9537
1088,66.5655
1089,63.4317
1089,63.1409
1089,59.5472
1090,59.3859
1090,65.3031
1090,66.6622
1091,66.7878
1091,62.7101
1091,62.2789
1092,66.7143
1092,64.0373
1092,66.7147
1093,66.7076
1093,63.6282
1093,62.3717
1094,61.9241
1094,58.2611
1094,67.1447
1095,66.8315
1095,66.5677
1095,66.4452
1096,66.527
1096,65.6164
1096,64.1597
1097,67.133
1097,66.8436
1097,66.7218
1098,60.4051
1098,62.4688
1098,63.9758
1099,63.9325
1099,65.2908
1099,65.6668
1100,65.7886
1100,65.8436
1100,66.1599
1101,65.5445
1101,65.6151
1101,65.8211
1102,66.2291
1102,62.7242
1102,63.1034
1103,63.7926
1103,63.2239
1103,63.8134
1104,64.009
1104,63.1405
1104,63.7004
1105,65.3761
1105,65.585
1105,65.5811
1106,64.482
1106,65.3373
1106,65.7276
1107,63.0438
1107,63.6935
1107,64.057
1108,63.4772
1108,64.9148
1108,64.2067
1109,64.845
1109,62.3041
1109,64.9789
1110,65.7203
1110,64.6738
1110,64.8513
1111,65.2456
1111,64.8955
1111,61.2096
1112,62.2483
1112,59.7489
1112,61.5229
1113,65.4365
1113,65.7951
1113,66.2765
1114,65.0495
1114,64.8071
1114,64.4741
1115,65.1415
1115,65.0643
1115,63.6266
1116,57.7778
1116,58.5466
1116,63.7658
1117,63.1018
1117,64.2442
1117,64.6864
1118,64.7245
1118,64.064
1118,61.72
1119,63.9452
1119,61.2437
1119,53.9546
1120,64.2228
1120,62.0544
1120,61.3704
1121,61.5313
1121,61.4009
1121,61.2678
1122,60.0669
1122,64.5099
1122,65.1504
1123,66.2959
1123,65.867
1123,64.8105
1124,64.2005
1124,65.0635
1124,62.8733
1125,64.1894
1125,63.5465
1125,62.1365
1126,64.4538
1126,64.6003
1126,64.4342
1127,64.6977
1127,64.787
1127,65.3006
1128,65.0474
1128,65.1063
1128,63.631
1129,65.0982
1129,59.1804
1129,62.8488
1130,62.9251
1130,64.2802
1130,65.2678
1131,63.5417
1131,59.522
1131,64.632
1132,64.0094
1132,63.7519
1132,64.8891
1133,64.7769
1133,64.8361
1133,61.1352
1134,63.1301
1134,64.6692
1134,64.4255
1135,64.5811
1135,63.012
1135,65.0508
1136,64.8113
1136,62.5896
1136,63.614
1137,64.2979
1137,63.4019
1137,57.0334
1138,61.7078
1138,59.6783
1138,63.2571
1139,63.1429
1139,59.3733
1139,64.3008
1140,63.7113
1140,64.2508
1140,63.2723
1141,64.2475
1141,49.5609
1141,62.3714
1142,63.663
1142,63.6712
1142,60.1699
1143,58.7475
1143,60.6984
1143,63.6084
1144,64.1276
1144,64.3318
1144,63.1676
1145,63.868
1145,64.9035
1145,63.5062
1146,62.7294
1146,64.1022
1146,61.7303
1147,60.0031
1147,61.5203
1147,61.7311
1148,63.1524
1148,62.9588
1148,62.9735
1149,63.6084
1149,62.8832
1149,63.455
1150,63.9636
1150,63.9488
1150,62.74
